nome,x,y
Nontronite,430.736,1763.15
Nontronite,431.2181,1737.041
Nontronite,431.7002,1720.168
Nontronite,432.1823,1683.631
Nontronite,432.6645,1623.665
Nontronite,433.1466,1555.037
Nontronite,433.6287,1495.543
Nontronite,434.1108,1443.82
Nontronite,434.5929,1393.733
Nontronite,435.075,1345.254
Nontronite,435.5572,1297.735
Nontronite,436.0393,1248.121
Nontronite,436.5214,1195.242
Nontronite,437.0035,1140.679
Nontronite,437.4856,1097.043
Nontronite,437.9677,1056.589
Nontronite,438.4499,1000.213
Nontronite,438.932,905.0693
Nontronite,439.4141,818.0762
Nontronite,439.8962,778.9502
Nontronite,440.3783,774.9678
Nontronite,440.8604,772.04
Nontronite,441.3426,762.2539
Nontronite,441.8247,743.8574
Nontronite,442.3068,712.3613
Nontronite,442.7889,663.209
Nontronite,443.271,620.7354
Nontronite,443.7531,601.5742
Nontronite,444.2353,588.5342
Nontronite,444.7174,562.2939
Nontronite,445.1995,503.416
Nontronite,445.6816,449.7998
Nontronite,446.1637,404.6738
Nontronite,446.6458,368.7998
Nontronite,447.128,348.3662
Nontronite,447.6101,351.5752
Nontronite,448.0922,361.2461
Nontronite,448.5743,368.627
Nontronite,449.0564,374.0898
Nontronite,449.5385,377.875
Nontronite,450.0207,384.8721
Nontronite,450.5028,385.8398
Nontronite,450.9849,357.9209
Nontronite,451.467,294.8418
Nontronite,451.9491,235.4258
Nontronite,452.4312,191.7227
Nontronite,452.9134,163.9307
Nontronite,453.3955,157.7109
Nontronite,453.8776,176.2021
Nontronite,454.3597,193.8975
Nontronite,454.8418,180.0146
Nontronite,455.3239,142.2529
Nontronite,455.8061,113.3936
Nontronite,456.2882,102.5566
Nontronite,456.7703,100.7715
Nontronite,457.2524,97.48145
Nontronite,457.7345,92.69141
Nontronite,458.2166,86.53516
Nontronite,458.6988,79.54297
Nontronite,459.1809,70.97168
Nontronite,459.663,58.43359
Nontronite,460.1451,40.66895
Nontronite,460.6272,26.24609
Nontronite,461.1093,26.50586
Nontronite,461.5915,31.49707
Nontronite,462.0736,28.74121
Nontronite,462.5557,0.625977
Nontronite,463.0378,22.75488
Nontronite,463.5199,26.35352
Nontronite,464.002,12.92285
Nontronite,464.4842,3.845703
Nontronite,464.9663,5.266602
Nontronite,465.4484,10.98535
Nontronite,465.9305,18.06543
Nontronite,466.4126,28.56836
Nontronite,466.8947,36.42285
Nontronite,467.3769,39.16016
Nontronite,467.859,40.33203
Nontronite,468.3411,46.58887
Nontronite,468.8232,62.85449
Nontronite,469.3053,74.4834
Nontronite,469.7874,78.12793
Nontronite,470.2696,73.84375
Nontronite,470.7517,59.54102
Nontronite,471.2338,30.71973
Nontronite,471.7159,5.807617
Nontronite,472.198,5.899414
Nontronite,472.6801,30.21289
Nontronite,473.1623,44.70508
Nontronite,473.6444,42.88965
Nontronite,474.1265,32.71582
Nontronite,474.6086,27.3877
Nontronite,475.0907,26.10254
Nontronite,475.5728,23.50098
Nontronite,476.055,15.26758
Nontronite,476.5371,4.389648
Nontronite,477.0192,6.610352
Nontronite,477.5013,17.83496
Nontronite,477.9834,21.27734
Nontronite,478.4655,8.254883
Nontronite,478.9477,43.41602
Nontronite,479.4298,46.50293
Nontronite,479.9119,20.37109
Nontronite,480.394,88.06152
Nontronite,480.8761,117.8311
Nontronite,481.3582,119.416
Nontronite,481.8404,120.1484
Nontronite,482.3225,121.7295
Nontronite,482.8046,130.416
Nontronite,483.2867,152.6016
Nontronite,483.7688,196.1865
Nontronite,484.2509,227.4775
Nontronite,484.7331,234.8076
Nontronite,485.2152,232.9844
Nontronite,485.6973,235.4004
Nontronite,486.1794,240.3643
Nontronite,486.6615,252.8164
Nontronite,487.1436,275.5166
Nontronite,487.6258,306.4053
Nontronite,488.1079,335.9941
Nontronite,488.59,363.5996
Nontronite,489.0721,391.1934
Nontronite,489.5542,423.54
Nontronite,490.0363,461.0205
Nontronite,490.5185,476.1533
Nontronite,491.0006,461.1094
Nontronite,491.4827,446.9521
Nontronite,491.9648,481.6895
Nontronite,492.447,556.792
Nontronite,492.9291,625.873
Nontronite,493.4112,674.0908
Nontronite,493.8933,705.4072
Nontronite,494.3754,717.0684
Nontronite,494.8575,712.3467
Nontronite,495.3397,710.79
Nontronite,495.8218,730.4531
Nontronite,496.3039,757.6562
Nontronite,496.786,773.1816
Nontronite,497.2681,768.0771
Nontronite,497.7502,776.7637
Nontronite,498.2324,829.1533
Nontronite,498.7145,903.1025
Nontronite,499.1966,969.6543
Nontronite,499.6787,1029.588
Nontronite,500.1608,1070.702
Nontronite,500.6429,1079.487
Nontronite,501.1251,1058.664
Nontronite,501.6072,1050.435
Nontronite,502.0893,1065.027
Nontronite,502.5714,1086.32
Nontronite,503.0535,1107.457
Nontronite,503.5356,1128.935
Nontronite,504.0178,1148.905
Nontronite,504.4999,1167.409
Nontronite,504.982,1184.146
Nontronite,505.4641,1200.264
Nontronite,505.9462,1216.977
Nontronite,506.4283,1226.054
Nontronite,506.9105,1222.251
Nontronite,507.3926,1209.537
Nontronite,507.8747,1204.856
Nontronite,508.3568,1208.647
Nontronite,508.8389,1212.155
Nontronite,509.321,1206.238
Nontronite,509.8032,1195.085
Nontronite,510.2853,1191.064
Nontronite,510.7674,1196.758
Nontronite,511.2495,1205.158
Nontronite,511.7316,1213.215
Nontronite,512.2137,1218.486
Nontronite,512.6959,1215.882
Nontronite,513.178,1196.901
Nontronite,513.6601,1174.78
Nontronite,514.1422,1155.91
Nontronite,514.6243,1140.697
Nontronite,515.1064,1130.794
Nontronite,515.5886,1130.175
Nontronite,516.0707,1132.774
Nontronite,516.5528,1136.13
Nontronite,517.0349,1145.762
Nontronite,517.517,1144.1
Nontronite,517.9991,1121.863
Nontronite,518.4813,1090.271
Nontronite,518.9634,1062.593
Nontronite,519.4455,1035.215
Nontronite,519.9276,1018.778
Nontronite,520.4097,1020.271
Nontronite,520.8918,1034.401
Nontronite,521.374,1029.392
Nontronite,521.8561,1000.803
Nontronite,522.3382,972.0566
Nontronite,522.8203,959.2949
Nontronite,523.3024,961.2324
Nontronite,523.7845,958.2432
Nontronite,524.2667,947.541
Nontronite,524.7488,937.8154
Nontronite,525.2309,945.54
Nontronite,525.713,964.6943
Nontronite,526.1951,973.1826
Nontronite,526.6772,959.3896
Nontronite,527.1594,934.4248
Nontronite,527.6415,909.5127
Nontronite,528.1236,885.0586
Nontronite,528.6057,860.8564
Nontronite,529.0878,836.3379
Nontronite,529.5699,813.3389
Nontronite,530.0521,790.1406
Nontronite,530.5342,762.7734
Nontronite,531.0163,744.6738
Nontronite,531.4984,752.7373
Nontronite,531.9805,768.54
Nontronite,532.4626,771.7461
Nontronite,532.9448,738.4561
Nontronite,533.4269,717.8438
Nontronite,533.909,724.3887
Nontronite,534.3911,749.0303
Nontronite,534.8732,753.7549
